,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,Present,Absent,%Att
23,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,40,3,80.0
24,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,36,7,72.0
25,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,39,4,78.0
26,P,A,P,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,35,8,70.0
27,P,P,A,A,P,P,P,P,P,P,P,A,A,P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,34,9,68.0
28,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,39,4,78.0
29,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,P,P,P,P,A,P,P,P,35,8,70.0
30,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P,A,A,P,A,P,P,P,P,P,A,33,10,66.0
31,P,P,P,P,P,A,P,P,P,P,P,A,P,A,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,36,7,72.0
32,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,34,9,68.0
33,P,P,A,A,P,P,A,P,A,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,36,7,72.0
34,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,36,7,72.0
35,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,37,6,74.0
36,P,P,A,P,P,P,P,P,P,A,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,A,P,33,10,66.0
37,A,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,P,35,8,70.0
38,P,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,35,8,70.0
39,P,P,P,P,A,P,P,P,P,A,A,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,36,7,72.0
40,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,35,8,70.0
